Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potencia media,Potencia máxima,Pasos,Repeticiones totales,Series totales,Descarga de Body Battery,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2025-07-15 19:35:00,false,"Castellón de la Plana Carrera","8,90","667","00:48:06","143","169","3,8","173","191","5:24","4:13","29","29","1,06","7,8","8,1","245","5:23","327","0,0","312","540","8.344","--","--","-9","No","00:04:36,0","9","00:47:47","00:48:06","-6","4"
Entreno de fuerza,2025-07-14 17:35:28,false,"Fuerza","0,00","424","00:55:42","109","174","2,4","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","18","9","1","-7","No","00:55:42","1","00:55:42","00:55:42","--","--"
Carrera,2025-07-13 09:59:54,false,"Castellón de la Plana Carrera","6,01","443","00:32:29","141","151","3,1","179","188","5:24","4:10","6","5","1,03","8,0","8,2","249","5:24","315","0,0","314","448","5.808","--","--","-3","No","00:00:04,4","7","00:32:27","00:32:29","-0","5"
Entreno de fuerza,2025-07-09 17:33:08,false,"Fuerza","0,00","348","00:57:46","98","144","0,9","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","12","6","1","-4","No","00:57:46","1","00:57:46","00:57:46","--","--"
Carrera,2025-07-08 19:32:41,false,"Castellón de la Plana - Base","9,00","642","00:45:31","141","174","3,8","182","192","5:03","3:46","13","15","1,09","7,5","8,1","238","5:03","346","0,0","337","466","8.226","--","--","-9","No","00:00:15,0","10","00:45:11","00:45:31","-7","3"
Carrera,2025-07-07 18:36:00,false,"Castellón de la Plana Carrera","4,60","322","00:24:19","135","146","2,9","181","189","5:17","4:44","6","24","1,04","7,8","8,1","244","5:18","329","0,0","327","386","4.392","--","--","-5","No","00:03:10,8","5","00:24:12","00:24:19","--","23"
Entreno de fuerza,2025-07-07 17:39:09,false,"Fuerza","0,00","316","00:51:54","99","146","1,2","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","26","13","1","-5","No","00:51:54","1","00:51:54","00:51:54","--","--"
Trail running,2025-07-05 08:41:12,false,"Vielha E Mijaran Trail running","11,46","1.431","04:30:04","97","143","2,4","28","176","23:34","6:17","777","805","0,75","8,1","5,6","375","20:14","113","0,0","38","465","9.792","--","--","-11","No","04:30:04","1","02:34:51","04:30:04","1.631","2.356"
Trail running,2025-07-03 07:30:11,false,"Naut Aran Trail running","51,91","5.353","09:16:51","143","165","5,0","80","245","10:44","4:12","2.778","3.113","0,90","8,6","7,1","279","9:12","212","0,0","114","738","57.100","--","--","-39","No","09:16:51","1","07:34:23","09:16:51","969","2.597"
Trail running,2025-06-28 07:38:17,false,"Benicasim Trail running","13,48","1.111","01:46:44","127","158","3,4","126","231","7:55","4:38","301","302","0,93","8,3","7,5","264","7:43","268","0,0","207","504","14.542","--","--","-16","No","01:46:44","1","01:34:49","01:46:44","-0","136"
Carrera,2025-06-26 20:00:00,false,"Castellón de la Plana Carrera","6,14","433","00:30:47","139","155","3,1","184","189","5:01","4:35","5","4","1,08","7,5","8,1","238","5:02","337","0,0","336","384","5.608","--","--","-6","No","00:00:38,0","7","00:30:45","00:30:47","0","4"
Carrera,2025-06-25 06:19:51,false,"Castellón de la Plana Carrera","8,59","582","00:45:24","130","141","3,0","181","188","5:17","4:40","13","3","1,04","7,8","8,1","244","5:15","323","0,0","322","388","8.162","--","--","-13","No","00:03:00,6","9","00:45:16","00:48:25","-2","5"
Entreno de fuerza,2025-06-23 17:32:09,false,"Fuerza","0,00","368","00:54:35","101","141","1,3","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","28","14","1","-5","No","00:54:35","1","00:54:35","00:54:35","--","--"
Trail running,2025-06-22 07:36:07,false,"Benicasim Trail running","14,63","1.133","01:59:08","119","165","3,3","130","245","8:09","4:23","456","455","0,88","8,7","7,4","278","7:41","257","0,0","203","523","16.886","--","--","-15","No","01:59:08","1","01:55:45","01:59:08","38","205"
Trail running,2025-06-21 07:34:40,false,"Borriol - Carrera larga","16,51","1.249","02:06:03","116","155","3,2","138","220","7:38","4:34","452","455","0,89","8,4","7,5","276","7:08","252","0,0","221","540","18.374","--","--","-24","No","00:00:05,5","2","02:04:21","02:06:06","157","373"
Carrera,2025-06-19 06:22:49,false,"Castellón de la Plana - Base","11,21","801","01:02:30","131","151","3,3","172","196","5:35","4:00","37","33","1,03","7,6","7,8","239","5:33","319","0,0","300","449","10.866","--","--","-10","No","00:02:09,0","12","00:59:04","01:02:30","16","43"
Entreno de fuerza,2025-06-18 17:33:28,false,"Fuerza","0,00","357","00:57:21","98","143","1,3","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","138","69","1","-5","No","00:57:21","1","00:57:21","00:57:21","--","--"
Trail running,2025-06-17 19:03:30,false,"Castellón de la Plana Trail running","6,76","786","01:18:19","128","166","3,3","86","240","11:35","4:07","414","417","0,88","8,8","7,2","270","9:21","226","0,0","141","608","7.832","--","--","-12","No","01:18:19","1","00:56:46","01:18:19","60","449"
Entreno de fuerza,2025-06-16 17:31:59,false,"Fuerza","0,00","443","01:16:37","96","151","2,0","--","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","8","4","1","-7","No","01:16:37","1","01:16:37","01:16:37","--","--"
